Tiempo astronómico	Energía	Momento angular
3.51	-0.00011135	-0.00081759
3.52	-0.00011135	-0.00081759
3.53	-0.00011135	-0.00081759
3.54	-0.00011135	-0.00081759
3.55	-0.00011135	-0.00081759
3.56	-0.00011135	-0.00081759
3.57	-0.00011135	-0.00081759
3.58	-0.000111349	-0.00081759
3.59	-0.000111349	-0.00081759
3.6	-0.000111349	-0.00081759
3.61	-0.000111349	-0.00081759
3.62	-0.000111349	-0.00081759
3.63	-0.000111349	-0.00081759
3.64	-0.000111349	-0.00081759
3.65	-0.000111349	-0.00081759
3.66	-0.000111349	-0.00081759
3.67	-0.000111349	-0.00081759
3.68	-0.000111349	-0.00081759
3.69	-0.000111349	-0.00081759
3.7	-0.000111349	-0.00081759
3.71	-0.000111349	-0.00081759
3.72	-0.000111349	-0.00081759
3.73	-0.000111349	-0.00081759
3.74	-0.000111349	-0.00081759
3.75	-0.000111349	-0.00081759
3.76	-0.000111349	-0.00081759
3.77	-0.000111349	-0.00081759
3.78	-0.000111349	-0.00081759
3.79	-0.000111349	-0.00081759
3.8	-0.000111349	-0.00081759
3.81	-0.000111348	-0.00081759
3.82	-0.000111348	-0.00081759
3.83	-0.000111348	-0.00081759
3.84	-0.000111348	-0.00081759
3.85	-0.000111348	-0.00081759
3.86	-0.000111348	-0.00081759
3.87	-0.000111348	-0.00081759
3.88	-0.000111348	-0.00081759
3.89	-0.000111348	-0.00081759
3.9	-0.000111348	-0.00081759
3.91	-0.000111348	-0.00081759
3.92	-0.000111348	-0.00081759
3.93	-0.000111348	-0.00081759
3.94	-0.000111348	-0.00081759
3.95	-0.000111348	-0.00081759
3.96	-0.000111348	-0.00081759
3.97	-0.000111348	-0.00081759
3.98	-0.000111348	-0.00081759
3.99	-0.000111348	-0.00081759
4	-0.000111348	-0.00081759
4.01	-0.000111348	-0.00081759
4.02	-0.000111348	-0.00081759
4.03	-0.000111347	-0.00081759
4.04	-0.000111347	-0.00081759
4.05	-0.000111347	-0.00081759
4.06	-0.000111347	-0.00081759
4.07	-0.000111347	-0.00081759
4.08	-0.000111347	-0.00081759
4.09	-0.000111347	-0.00081759
