Tiempo astronómico	Energía	Momento angular
5.33	-0.00011128	0.00355091
5.34	-0.00011128	0.00355091
5.35	-0.00011128	0.00355091
5.36	-0.00011128	0.00355091
5.37	-0.00011128	0.00355091
5.38	-0.00011128	0.00355091
5.39	-0.00011128	0.00355091
5.4	-0.00011128	0.00355091
5.41	-0.00011128	0.00355091
5.42	-0.00011128	0.00355091
5.43	-0.00011128	0.00355091
5.44	-0.00011128	0.00355091
5.45	-0.00011128	0.00355091
5.46	-0.00011128	0.00355091
5.47	-0.00011128	0.00355091
5.48	-0.00011128	0.00355091
5.49	-0.00011128	0.00355091
5.5	-0.00011128	0.00355091
5.51	-0.00011128	0.00355091
5.52	-0.00011128	0.00355091
5.53	-0.00011128	0.00355091
5.54	-0.00011128	0.00355091
5.55	-0.00011128	0.00355091
5.56	-0.00011128	0.00355091
5.57	-0.00011128	0.00355091
5.58	-0.00011128	0.00355091
5.59	-0.00011128	0.00355091
5.6	-0.00011128	0.00355091
5.61	-0.00011128	0.00355091
5.62	-0.00011128	0.00355091
5.63	-0.00011128	0.00355091
5.64	-0.00011128	0.00355091
5.65	-0.00011128	0.00355091
5.66	-0.00011128	0.00355091
5.67	-0.00011128	0.00355091
5.68	-0.00011128	0.00355091
5.69	-0.000111279	0.00355091
5.7	-0.000111279	0.00355091
5.71	-0.000111279	0.00355091
5.72	-0.000111279	0.00355091
5.73	-0.000111279	0.00355091
5.74	-0.000111279	0.00355091
5.75	-0.000111279	0.00355091
5.76	-0.000111279	0.00355091
5.77	-0.000111279	0.00355091
5.78	-0.000111279	0.00355091
5.79	-0.000111279	0.00355091
5.8	-0.000111279	0.00355091
5.81	-0.000111279	0.00355091
5.82	-0.000111279	0.00355091
5.83	-0.000111279	0.00355091
5.84	-0.000111279	0.00355091
5.85	-0.000111279	0.00355091
5.86	-0.000111279	0.00355091
5.87	-0.000111279	0.00355091
5.88	-0.000111279	0.00355091
5.89	-0.000111279	0.00355091
5.9	-0.000111279	0.00355091
5.91	-0.000111279	0.00355091
5.92	-0.000111279	0.00355091
5.93	-0.000111279	0.00355091
5.94	-0.000111279	0.00355091
5.95	-0.000111279	0.00355091
5.96	-0.000111279	0.00355091
5.97	-0.000111279	0.00355091
5.98	-0.000111279	0.00355091
5.99	-0.000111279	0.00355091
6	-0.000111279	0.00355091
6.01	-0.000111279	0.00355091
6.02	-0.000111279	0.00355091
6.03	-0.000111279	0.00355091
6.04	-0.000111279	0.00355091
6.05	-0.000111279	0.00355091
6.06	-0.000111279	0.00355091
6.07	-0.000111279	0.00355091
6.08	-0.000111279	0.00355091
6.09	-0.000111279	0.00355091
6.1	-0.000111279	0.00355091
6.11	-0.000111279	0.00355091
6.12	-0.000111279	0.00355091
6.13	-0.000111279	0.00355091
6.14	-0.000111279	0.00355091
6.15	-0.000111279	0.00355091
6.16	-0.000111279	0.00355091
6.17	-0.000111279	0.00355091
6.18	-0.000111279	0.00355091
6.19	-0.000111279	0.00355091
6.2	-0.000111279	0.00355091
6.21	-0.000111279	0.00355091
6.22	-0.000111279	0.00355091
6.23	-0.000111279	0.00355091
6.24	-0.000111279	0.00355091
6.25	-0.000111279	0.00355091
6.26	-0.000111279	0.00355091
6.27	-0.000111278	0.00355091
6.28	-0.000111278	0.00355091
6.29	-0.000111278	0.00355091
6.3	-0.000111278	0.00355091
6.31	-0.000111278	0.00355091
6.32	-0.000111278	0.00355091
6.33	-0.000111278	0.00355091
